model; shuffled; c; degree; gamma; epsilon; r2; rmse
poly; True; 0.1; 2; 0.1; 0.4; 0.3530888445289152; 0.7448719993731953
rbf; True; 0.1; 2; 0.1; 0.4; 0.5842427214180685; 0.5971442562770487
linear; False; 0.1; 2; 0.1; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; 0.1; 0.4; 0.14360956321415652; 0.9222461520033913
rbf; False; 0.1; 2; 0.1; 0.4; 0.5279891680655648; 0.6846788774418455
linear; True; 0.1; 2; 0.1; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; 0.1; 0.4; 0.3530888445289152; 0.7448719993731953
rbf; True; 0.1; 2; 0.1; 0.4; 0.5842427214180685; 0.5971442562770487
linear; False; 0.1; 2; 0.1; 0.4; 0.45929375464522626; 0.7328104272109992
poly; False; 0.1; 2; 0.1; 0.4; 0.14360956321415652; 0.9222461520033913
rbf; False; 0.1; 2; 0.1; 0.4; 0.5279891680655648; 0.6846788774418455
linear; True; 0.1; 2; 0.1; 0.4; 0.5282981082969016; 0.6360527545658448
poly; True; 0.1; 2; 0.1; 0.4; 0.3530888445289152; 0.7448719993731953
